name,cz,HouseholdIncomeOutcome,Census_Response_Rate_Social_Capital_Proxy,IncarcerationRate,Median_Hhold._Income_of_Residents_in_2012-16,CollegeGradRate,HighSchoolGradRate,EmploymentRate,Poverty_Rate_in_2012-16,Fraction_College_Graduates_in_2012-16
"Austin, MN_RaceBlack",cz21702_RaceBlack,25477.0,85.26,0.0,51457,0,0,0.8091,0.1283,0.1829
"Austin, MN_RaceWhite",cz21702_RaceWhite,53635.0,85.26,0.0046,51457,0.3303,0.8857,0.8521,0.1283,0.1829
"Austin, MN_RaceHispanic",cz21702_RaceHispanic,36114.0,85.26,0.0282,51457,0.173,0.7944,0.8225,0.1283,0.1829
"Austin, MN_RaceNativeAmerican",cz21702_RaceNativeAmerican,0,85.26,0,51457,0,0,0,0.1283,0.1829
"Defiance, OH_RaceAsian",cz13502_RaceAsian,47862.0,84.04,0.0115,47824,0.3123,0.8617,0.8219,0.1339,0.1459
"Defiance, OH_RaceBlack",cz13502_RaceBlack,29605.0,84.04,0.0839,47824,0,0.8711,0.724,0.1339,0.1459
"Defiance, OH_RaceWhite",cz13502_RaceWhite,49517.0,84.04,0.0111,47824,0.3216,0.866,0.8279,0.1339,0.1459
"Defiance, OH_RaceHispanic",cz13502_RaceHispanic,38102.0,84.04,0.0081,47824,0.139,0.8044,0.8268,0.1339,0.1459
"Defiance, OH_RaceNativeAmerican",cz13502_RaceNativeAmerican,0,84.04,0,47824,0,0,0,0.1339,0.1459
"Polk, MO_RaceAsian",cz29505_RaceAsian,51907.0,82.21,0.0088,41688,0.3783,0.8693,0.8099,0.2157,0.2507
"Polk, MO_RaceBlack",cz29505_RaceBlack,0,82.21,0,41688,0,0,0,0.2157,0.2507
"Polk, MO_RaceWhite",cz29505_RaceWhite,52951.0,82.21,0.0091,41688,0.3802,0.8676,0.8199,0.2157,0.2507
"Polk, MO_RaceHispanic",cz29505_RaceHispanic,35717.0,82.21,0.0,41688,0,0,0.6698,0.2157,0.2507
"Polk, MO_RaceNativeAmerican",cz29505_RaceNativeAmerican,0,82.21,0,41688,0,0,0,0.2157,0.2507
"Kirksville, MO_RaceAsian",cz26107_RaceAsian,44564.0,84.36,0.0097,39176,0.3291,0.8918,0.7762,0.2653,0.2291
"Kirksville, MO_RaceBlack",cz26107_RaceBlack,30117.0,84.36,0.0406,39176,0,0,0.9171,0.2653,0.2291
"Kirksville, MO_RaceWhite",cz26107_RaceWhite,45034.0,84.36,0.0094,39176,0.3331,0.8923,0.7787,0.2653,0.2291
"Kirksville, MO_RaceHispanic",cz26107_RaceHispanic,50266.0,84.36,0.0068,39176,0,0,0.8696,0.2653,0.2291
"Kirksville, MO_RaceNativeAmerican",cz26107_RaceNativeAmerican,0,84.36,0,39176,0,0,0,0.2653,0.2291
"Lusk, WY_RaceAsian",cz34604_RaceAsian,51062.0,78.6,0.0021,40134,0.5214,0.9484,0.8182,0.1364,0.1899
"Lusk, WY_RaceBlack",cz34604_RaceBlack,0,78.6,0,40134,0,0,0,0.1364,0.1899
"Lusk, WY_RaceWhite",cz34604_RaceWhite,54902.0,78.6,0.0052,40134,0.5317,0.9525,0.8343,0.1364,0.1899
"Lusk, WY_RaceHispanic",cz34604_RaceHispanic,0,78.6,0,40134,0,0,0,0.1364,0.1899
"Lusk, WY_RaceNativeAmerican",cz34604_RaceNativeAmerican,0,78.6,0,40134,0,0,0,0.1364,0.1899
"El Dorado, AR_RaceAsian",cz4103_RaceAsian,36501.0,76.38,0.0227,36501,0.2933,0.8493,0.763,0.2139,0.1715
"El Dorado, AR_RaceBlack",cz4103_RaceBlack,23730.0,76.38,0.0458,36501,0.1737,0.7707,0.7767,0.2139,0.1715
"El Dorado, AR_RaceWhite",cz4103_RaceWhite,47106.0,76.38,0.0105,36501,0.3478,0.8803,0.7735,0.2139,0.1715
"El Dorado, AR_RaceHispanic",cz4103_RaceHispanic,33400.0,76.38,0.0098,36501,0.2139,0.8121,0.7259,0.2139,0.1715
"El Dorado, AR_RaceNativeAmerican",cz4103_RaceNativeAmerican,31924.0,76.38,0.0033,36501,0,0,0.6988,0.2139,0.1715
"Washington, NC_RaceAsian",cz2100_RaceAsian,36528.0,84.09,0.0124,42385,0.3034,0.8551,0.7628,0.1671,0.1881
"Washington, NC_RaceBlack",cz2100_RaceBlack,24007.0,84.09,0.0271,42385,0.1796,0.7639,0.7841,0.1671,0.1881
"Washington, NC_RaceWhite",cz2100_RaceWhite,45834.0,84.09,0.0054,42385,0.3517,0.8991,0.7728,0.1671,0.1881
"Washington, NC_RaceHispanic",cz2100_RaceHispanic,29813.0,84.09,0.0069,42385,0,0.7238,0.6828,0.1671,0.1881
"Washington, NC_RaceNativeAmerican",cz2100_RaceNativeAmerican,0,84.09,0,42385,0,0,0,0.1671,0.1881
"Brookhaven, MS_RaceAsian",cz3102_RaceAsian,38023.0,81.75,0.0154,37975,0.2633,0.8388,0.7249,0.2433,0.1476
"Brookhaven, MS_RaceBlack",cz3102_RaceBlack,24492.0,81.75,0.0317,37975,0.1747,0.7919,0.7786,0.2433,0.1476
"Brookhaven, MS_RaceWhite",cz3102_RaceWhite,48058.0,81.75,0.0077,37975,0.3079,0.8636,0.7107,0.2433,0.1476
"Brookhaven, MS_RaceHispanic",cz3102_RaceHispanic,38767.0,81.75,0.0,37975,0,0,0.715,0.2433,0.1476
"Brookhaven, MS_RaceNativeAmerican",cz3102_RaceNativeAmerican,0,81.75,0,37975,0,0,0,0.2433,0.1476
"London, KY_RaceAsian",cz4401_RaceAsian,34518.0,78.84,0.0114,31430,0.286,0.8312,0.7112,0.2903,0.1316
"London, KY_RaceBlack",cz4401_RaceBlack,32241.0,78.84,0.0641,31430,0,0.8495,0.6906,0.2903,0.1316
"London, KY_RaceWhite",cz4401_RaceWhite,35562.0,78.84,0.011,31430,0.2893,0.8315,0.7201,0.2903,0.1316
"London, KY_RaceHispanic",cz4401_RaceHispanic,27391.0,78.84,0.0279,31430,0,0,0.6974,0.2903,0.1316
"London, KY_RaceNativeAmerican",cz4401_RaceNativeAmerican,31982.0,78.84,0,31430,0,0,0.649,0.2903,0.1316
"La Grange, TX_RaceAsian",cz31102_RaceAsian,49860.0,83.65,0.0161,48107,0.4258,0.8777,0.7889,0.1224,0.1754
"La Grange, TX_RaceBlack",cz31102_RaceBlack,26484.0,83.65,0.0663,48107,0.0969,0.8851,0.8177,0.1224,0.1754
"La Grange, TX_RaceWhite",cz31102_RaceWhite,61782.0,83.65,0.008,48107,0.5464,0.9041,0.806,0.1224,0.1754
"La Grange, TX_RaceHispanic",cz31102_RaceHispanic,39674.0,83.65,0.0175,48107,0.1506,0.7733,0.7943,0.1224,0.1754
"La Grange, TX_RaceNativeAmerican",cz31102_RaceNativeAmerican,0,83.65,0,48107,0,0,0,0.1224,0.1754
"Ottumwa, IA_RaceAsian",cz22300_RaceAsian,50729.0,83.46,0.0056,47678,0.3407,0.8997,0.8078,0.1425,0.219
"Ottumwa, IA_RaceBlack",cz22300_RaceBlack,33734.0,83.46,0.0574,47678,0,0,0.6886,0.1425,0.219
"Ottumwa, IA_RaceWhite",cz22300_RaceWhite,51914.0,83.46,0.0051,47678,0.3398,0.9008,0.8147,0.1425,0.219
"Ottumwa, IA_RaceHispanic",cz22300_RaceHispanic,37250.0,83.46,0.02,47678,0.3754,0.8093,0.7516,0.1425,0.219
"Ottumwa, IA_RaceNativeAmerican",cz22300_RaceNativeAmerican,40891.0,83.46,0.0008,47678,0,0,0.8915,0.1425,0.219
"Brady, TX_RaceAsian",cz32302_RaceAsian,41577.0,81.71,0.015,41249,0.2715,0.8558,0.7691,0.1695,0.1586
"Brady, TX_RaceBlack",cz32302_RaceBlack,24593.0,81.71,0.1651,41249,0,0,0.6994,0.1695,0.1586
